Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 05, 2020","3,363.33","3,383.64","3,333.88","3,377.56","3,377.56","4,222,564,332"
"Aug 04, 2020","3,376.44","3,391.07","3,352.50","3,371.69","3,371.69","442,300"
"Aug 03, 2020","3,332.18","3,368.10","3,327.68","3,367.97","3,367.97","407,500"
"Jul 31, 2020","3,280.80","3,333.79","3,261.61","3,310.01","3,310.01","353,800"
"Jul 30, 2020","3,299.57","3,312.45","3,282.16","3,286.82","3,286.82","340,700"
"Jul 29, 2020","3,221.99","3,294.55","3,209.99","3,294.55","3,294.55","324,900"
"Jul 28, 2020","3,226.13","3,245.30","3,208.49","3,227.96","3,227.96","289,400"
"Jul 27, 2020","3,210.39","3,221.99","3,174.66","3,205.23","3,205.23","299,300"
"Jul 24, 2020","3,310.65","3,319.13","3,184.97","3,196.77","3,196.77","427,100"
"Jul 23, 2020","3,306.15","3,336.30","3,257.83","3,325.11","3,325.11","407,000"
"Jul 22, 2020","3,315.18","3,381.98","3,311.79","3,333.16","3,333.16","393,300"
"Jul 21, 2020","3,330.55","3,336.68","3,300.57","3,320.90","3,320.90","359,300"
"Jul 20, 2020","3,243.91","3,314.15","3,220.68","3,314.15","3,314.15","418,600"
"Jul 17, 2020","3,214.40","3,252.78","3,181.27","3,214.13","3,214.13","359,700"
"Jul 16, 2020","3,356.36","3,373.53","3,209.73","3,210.10","3,210.10","490,600"
"Jul 15, 2020","3,422.08","3,432.45","3,345.75","3,361.30","3,361.30","492,000"
"Jul 14, 2020","3,435.02","3,451.22","3,366.08","3,414.62","3,414.62","543,200"
"Jul 13, 2020","3,379.39","3,458.79","3,369.04","3,443.29","3,443.29","558,000"
"Jul 10, 2020","3,418.94","3,433.11","3,372.51","3,383.32","3,383.32","556,100"
"Jul 09, 2020","3,403.48","3,456.97","3,393.64","3,450.59","3,450.59","620,000"
"Jul 08, 2020","3,337.55","3,421.53","3,327.71","3,403.44","3,403.44","587,100"
"Jul 07, 2020","3,380.95","3,407.08","3,336.24","3,345.34","3,345.34","657,800"
"Jul 06, 2020","3,187.84","3,337.27","3,187.84","3,332.88","3,332.88","643,900"
"Jul 03, 2020","3,104.00","3,152.81","3,104.00","3,152.81","3,152.81","458,800"
"Jul 02, 2020","3,023.72","3,092.44","3,021.67","3,090.57","3,090.57","391,100"
"Jul 01, 2020","2,991.18","3,026.19","2,984.98","3,025.98","3,025.98","273,300"
"Jun 30, 2020","2,965.10","2,990.82","2,965.10","2,984.67","2,984.67","215,000"
"Jun 29, 2020","2,973.08","2,977.91","2,951.77","2,961.52","2,961.52","220,600"
"Jun 24, 2020","2,972.98","2,982.94","2,971.22","2,979.55","2,979.55","213,200"
"Jun 23, 2020","2,960.89","2,972.40","2,949.85","2,970.62","2,970.62","225,200"
"Jun 22, 2020","2,966.90","2,983.44","2,959.03","2,965.27","2,965.27","267,900"
"Jun 19, 2020","2,938.79","2,973.32","2,935.82","2,967.63","2,967.63","264,300"
"Jun 18, 2020","2,929.88","2,942.90","2,920.11","2,939.32","2,939.32","258,700"
"Jun 17, 2020","2,932.67","2,936.62","2,919.04","2,935.87","2,935.87","234,700"
"Jun 16, 2020","2,912.83","2,931.78","2,909.13","2,931.75","2,931.75","223,300"
"Jun 15, 2020","2,908.28","2,922.54","2,890.03","2,890.03","2,890.03","243,200"
"Jun 12, 2020","2,876.80","2,930.25","2,872.62","2,919.74","2,919.74","236,000"
"Jun 11, 2020","2,939.79","2,952.65","2,912.19","2,920.90","2,920.90","233,700"
"Jun 10, 2020","2,951.28","2,951.33","2,934.84","2,943.75","2,943.75","207,900"
"Jun 09, 2020","2,939.53","2,957.12","2,932.94","2,956.11","2,956.11","209,000"
"Jun 08, 2020","2,941.98","2,950.07","2,934.21","2,937.77","2,937.77","231,100"
"Jun 05, 2020","2,923.19","2,930.80","2,909.12","2,930.80","2,930.80","217,400"
"Jun 04, 2020","2,931.84","2,932.97","2,910.75","2,919.25","2,919.25","226,600"
"Jun 03, 2020","2,930.39","2,942.76","2,922.66","2,923.37","2,923.37","255,700"
"Jun 02, 2020","2,916.32","2,926.36","2,909.13","2,921.40","2,921.40","256,100"
"Jun 01, 2020","2,871.96","2,917.15","2,871.96","2,915.43","2,915.43","260,200"
"May 29, 2020","2,835.58","2,855.38","2,829.63","2,852.35","2,852.35","206,800"
"May 28, 2020","2,838.21","2,861.92","2,820.15","2,846.22","2,846.22","207,500"
"May 27, 2020","2,847.32","2,849.00","2,831.93","2,836.80","2,836.80","198,100"
"May 26, 2020","2,827.90","2,848.34","2,825.90","2,846.55","2,846.55","174,600"
"May 25, 2020","2,816.24","2,821.50","2,802.47","2,817.97","2,817.97","172,900"
"May 22, 2020","2,863.05","2,863.05","2,808.02","2,813.76","2,813.76","209,100"
"May 21, 2020","2,890.72","2,891.52","2,864.21","2,867.92","2,867.92","203,500"
"May 20, 2020","2,896.47","2,896.47","2,876.18","2,883.74","2,883.74","210,500"
"May 19, 2020","2,897.69","2,900.22","2,887.58","2,898.58","2,898.58","197,200"
"May 18, 2020","2,872.52","2,889.98","2,862.27","2,875.42","2,875.42","226,000"
"May 15, 2020","2,880.71","2,884.22","2,863.37","2,868.46","2,868.46","189,000"
"May 14, 2020","2,887.06","2,887.06","2,869.18","2,870.34","2,870.34","197,800"
"May 13, 2020","2,882.96","2,900.26","2,875.53","2,898.05","2,898.05","185,100"
"May 12, 2020","2,894.62","2,897.90","2,871.23","2,891.56","2,891.56","197,100"
"May 11, 2020","2,901.57","2,914.28","2,884.38","2,894.80","2,894.80","225,100"
"May 08, 2020","2,882.71","2,903.80","2,879.20","2,895.34","2,895.34","226,800"
"May 07, 2020","2,876.47","2,882.02","2,864.58","2,871.52","2,871.52","226,700"
"May 06, 2020","2,831.63","2,879.26","2,830.65","2,878.14","2,878.14","249,800"
"Apr 30, 2020","2,832.38","2,865.59","2,832.38","2,860.08","2,860.08","242,500"
"Apr 29, 2020","2,801.38","2,831.76","2,800.74","2,822.44","2,822.44","202,100"
"Apr 28, 2020","2,819.99","2,821.75","2,758.25","2,810.02","2,810.02","253,900"
"Apr 27, 2020","2,812.24","2,832.67","2,802.96","2,815.50","2,815.50","210,100"
"Apr 24, 2020","2,834.94","2,834.94","2,802.50","2,808.53","2,808.53","235,200"
"Apr 23, 2020","2,850.51","2,853.64","2,835.90","2,838.50","2,838.50","248,800"
"Apr 22, 2020","2,814.07","2,843.98","2,808.48","2,843.98","2,843.98","217,300"
"Apr 21, 2020","2,842.24","2,842.24","2,808.02","2,827.01","2,827.01","233,200"
"Apr 20, 2020","2,840.41","2,852.99","2,833.26","2,852.55","2,852.55","211,800"
"Apr 17, 2020","2,835.56","2,854.96","2,830.02","2,838.50","2,838.50","245,700"
"Apr 16, 2020","2,798.43","2,823.34","2,796.84","2,819.94","2,819.94","203,000"
"Apr 15, 2020","2,826.66","2,829.75","2,808.70","2,811.17","2,811.17","205,600"
